,hour,date,month,value
0,7.0,3.0,1.0,111.882
1,10.0,3.0,1.0,111.86400000000002
2,13.0,3.0,1.0,120.21
3,15.0,3.0,1.0,115.744
4,16.0,3.0,1.0,111.758
5,17.0,3.0,1.0,112.986
6,16.0,8.0,1.0,115.74
7,6.0,9.0,1.0,111.916
8,7.0,9.0,1.0,108.866
9,16.0,9.0,1.0,108.424
10,17.0,9.0,1.0,109.512
11,7.0,10.0,1.0,116.894
12,10.0,10.0,1.0,109.568
13,16.0,10.0,1.0,114.432
14,17.0,10.0,1.0,113.156
15,16.0,22.0,1.0,120.4
16,17.0,22.0,1.0,112.67000000000002
17,13.0,23.0,1.0,123.752
18,14.0,23.0,1.0,119.56600000000002
19,10.0,24.0,1.0,105.5
20,13.0,29.0,1.0,113.31
21,14.0,29.0,1.0,115.722
22,6.0,30.0,1.0,110.448
23,7.0,30.0,1.0,113.136
24,10.0,30.0,1.0,106.488
25,11.0,30.0,1.0,106.506
26,16.0,30.0,1.0,113.062
27,17.0,21.0,2.0,121.074
28,8.0,24.0,5.0,132.918
29,9.0,24.0,5.0,135.268
30,11.0,24.0,5.0,137.596
31,16.0,12.0,11.0,108.272
32,17.0,12.0,11.0,103.734
33,10.0,3.0,12.0,90.412
34,11.0,3.0,12.0,88.23400000000001
0,16.0,1.0,1.0,86.9
1,10.0,2.0,1.0,108.56400000000002
2,11.0,2.0,1.0,109.424
3,14.0,2.0,1.0,106.96
4,16.0,2.0,1.0,113.33
5,17.0,2.0,1.0,114.304
6,18.0,2.0,1.0,113.036
7,15.0,3.0,1.0,115.744
8,16.0,3.0,1.0,111.758
9,17.0,3.0,1.0,112.986
10,18.0,3.0,1.0,111.824
11,21.0,3.0,1.0,113.66
12,8.0,6.0,1.0,113.958
13,9.0,6.0,1.0,112.154
14,10.0,8.0,1.0,118.122
15,11.0,8.0,1.0,120.656
16,12.0,8.0,1.0,125.108
17,13.0,8.0,1.0,126.724
18,14.0,8.0,1.0,123.854
19,15.0,8.0,1.0,120.004
20,16.0,8.0,1.0,115.74
21,17.0,8.0,1.0,116.378
22,18.0,8.0,1.0,119.63
23,11.0,10.0,1.0,109.594
24,16.0,15.0,1.0,115.828
25,16.0,16.0,1.0,110.826
26,8.0,20.0,1.0,108.35
27,9.0,20.0,1.0,104.344
28,6.0,22.0,1.0,110.67000000000002
29,17.0,23.0,1.0,110.9
30,8.0,27.0,1.0,117.274
31,9.0,27.0,1.0,119.902
32,7.0,29.0,1.0,116.96800000000002
33,14.0,30.0,1.0,114.89600000000002
34,16.0,30.0,1.0,113.062
35,9.0,19.0,2.0,115.714
36,10.0,19.0,2.0,113.086
37,11.0,19.0,2.0,111.83
38,12.0,19.0,2.0,113.998
39,15.0,19.0,2.0,117.362
40,16.0,19.0,2.0,122.608
41,17.0,19.0,2.0,125.756
42,18.0,19.0,2.0,122.654
43,5.0,20.0,2.0,107.274
44,6.0,20.0,2.0,109.622
45,7.0,20.0,2.0,117.05
46,14.0,20.0,2.0,111.376
47,16.0,20.0,2.0,119.428
48,17.0,20.0,2.0,113.304
49,18.0,20.0,2.0,111.912
50,16.0,12.0,3.0,121.66
51,17.0,12.0,3.0,117.784
52,14.0,13.0,3.0,116.846
53,16.0,13.0,3.0,122.506
54,17.0,13.0,3.0,120.642
55,18.0,13.0,3.0,124.18800000000002
56,17.0,14.0,3.0,124.648
57,17.0,18.0,3.0,122.856
58,9.0,23.0,6.0,122.544
59,17.0,9.0,8.0,101.996
